Egzersiz_Adi,Kategori,Ekipman,Aciklama
Plank,Abs,none (bodyweight exercise),"Yere uzanın ve ağırlığınızı ön kollarınız ve ayak parmaklarınız üzerinde destekleyin. Kollarınız bükülü ve omuz hizasının hemen altında olmalıdır.

Vücudunuzu her zaman düz tutun ve bu pozisyonu mümkün olduğunca uzun süre koruyun. Zorluğu artırmak için egzersizi yaparken bir kolunuzu veya bacağınızı kaldırabilirsiniz."
Scissors,Abs,Vücut Ağırlığı,"Makas hareketi, karın kaslarını güçlendiren, karın bölgesini düzleştirmeye ve tüm karın kaslarını güçlendirmeye yardımcı olan bir karın egzersizidir. Makas hareketi sadece karın kaslarını güçlendirmekle kalmaz, aynı zamanda hamstring kasları ve bel bölgesini de esnetir. Herkes karın kaslarını çalıştırmak, karnı düzleştirmek ve esnekliği artırmak için yeni yollar arıyor. Makas hareketini nasıl yapacağınızı öğrenirseniz, tüm bunları tek bir harekette bir araya getirmiş olursunuz."
"Rowing seated, narrow grip",Back,Vücut Ağırlığı,"* Kasları sıkın
* Kontrollü hareket
* Yavaş hareket
* Üst vücudu dik tutun
* Geriye yaslanmayın
* Göğse doğru çekin"
Reverse Bar Curl,Arms,SZ-Bar,"Barı ters (veya ""üstten"") kavrama ile, avuç içleriniz yere bakacak şekilde tutun."
Renegade Row,Back,Dumbbell,"Şınav pozisyonuna geçin ve dambılları kavrayın. Bir şınav çekin, ardından sol dirseğinizi yukarı doğru iterek dambılı vücudunuza doğru kaldırın. Dambılı başlangıç ​​pozisyonuna geri indirin.

Bir şınav daha çekin ve ardından diğer kolunuzla kürek çekme hareketi yaparak bir tekrarı tamamlayın."
"Rowing, T-bar",Back,Vücut Ağırlığı,"Bu egzersizin yapılışı, normal öne eğilerek kürek çekmeye çok benzer, tek farkı burada barın sabit olmasıdır.

Barı geniş bir tutuşla (omuz genişliğinden biraz daha geniş) kavrayın ve öne eğilin. Üst bedeniniz yere tam paralel değil, hafif bir açı oluşturuyor. Egzersiz boyunca göğsünüz dışarıda olmalı. Şimdi barı hızlı bir hareketle göbek deliğinize doğru çekin, daha yukarıya değil. Yavaşça başlangıç ​​pozisyonuna inin. Vücudunuzla sallanmayın ve kollarınızı vücudunuza yakın tutun."
Seated Triceps Press,Arms,"Bench, Dumbbell","Sırt üstü (sırt desteği olan bir yere) oturun. Her iki elinizle bir dambılı sıkıca kavrayın ve kollarınızı uzatarak başınızın üzerinde tutun. Avuç içleriniz yukarı bakacak şekilde ve dambılın ağırlığını tutarak, ağırlığı yavaşça başınızın arkasına indirin."
Row,Back,"Barbell, Dumbbell, Pull-up bar","Kuvvet antrenmanında, kürek çekme (veya genellikle niteleyici bir sıfatla birlikte kullanılan ""kürek çekme"" - örneğin oturarak kürek çekme) egzersizinin amacı, kürek çekenin kollarını vücuda doğru çeken kasları (latissimus dorsi), kürek kemiklerini geri çeken kasları (trapezius ve romboidler) ve omurgayı destekleyen kasları (erector spinae) güçlendirmektir. Kürek çekme makinesinde yapıldığında, kürek çekme aynı zamanda bacakları uzatan ve destekleyen kasları (kuadriseps ve uyluk kasları) da çalıştırır. Her durumda, vücudu desteklemek ve sırt sakatlanmalarını önlemek için karın ve bel kasları kullanılmalıdır."
"Rowing, Lying on Bench",Back,Vücut Ağırlığı,Açıklama Bulunamadı!
Ring Dips,Arms,Vücut Ağırlığı,Jimnastik halkaları üzerinde yapılan dips hareketi.
Romanian Deadlift,Legs,Barbell,DL (en üstten 2. pozisyona): https://www.youtube.com/watch?v=WtWtjViRsKo
"Shoulder Press, on Machine",Shoulders,Vücut Ağırlığı,Açıklama Bulunamadı!
Reverse Grip Bench Press,Chest,"Barbell, Bench",Üst göğüs kaslarını çalıştıran ve aynı zamanda triseps kaslarını da etkili bir şekilde kullanan bir egzersiz.
Run - Interval Training,Cardio,Vücut Ağırlığı,"Koşun ve yokuş tekrarı, fartlek gibi interval antrenmanları yapın."
Incline Bench Press - Barbell,Chest,"Barbell, Incline bench",Yavaşça yapmak için tempo 4010'dur.
Shotgun Row,Back,Vücut Ağırlığı,"1. Alçak bir kabloya tek bir tutamak takın.

2. Doğru ağırlığı seçtikten sonra, geniş bacaklı bir duruşla birkaç adım geriye doğru durun. Kolunuz uzatılmış ve omzunuz önde olmalıdır. Bu sizin başlangıç ​​pozisyonunuz olacaktır.

3. Omuzunuzu geriye çekerek ve dirseğinizi bükerek hareketi gerçekleştirin. Çekerken bileğinizi supine edin ve avuç içini yukarı doğru çevirin.

4. Kısa bir duraklamanın ardından başlangıç ​​pozisyonuna geri dönün."
Splinter Sit-ups,Abs,Vücut Ağırlığı,"Sırt üstü uzanın, bacaklarınız düz ve kollarınız yanlarda, dirsekleriniz 90 derece bükülü olsun. Otururken üst vücudunuzu sola çevirin ve sol dizinizi sağ dirseğinize doğru getirirken sol kolunuzu geriye doğru sallayın. Vücudunuzu başlangıç ​​pozisyonuna indirin ve aynı hareketi sağa doğru tekrarlayın. Bu 1 tekrardır."
Speed Deadlift,Legs,Vücut Ağırlığı,Setler arasında kısa (1 dakikadan az) dinlenme süreleriyle deadlift yapın.
"Shoulder Press, on Multi Press",Shoulders,Vücut Ağırlığı,"Egzersiz temelde serbest halterle yapılanla aynıdır:

Bir banka oturun, sırt desteği neredeyse dikey olmalıdır. Omuz genişliğinde bir kavrama ile halteri alın ve göğüs hizasına kadar indirin. Ağırlığı yukarı doğru itin, ancak kollarınızı tamamen germeyin. Yavaşça aşağı indirin ve tekrarlayın."
Sit-ups,Abs,Vücut Ağırlığı,"Bir mindere oturun, baldırlarınız bir banka yaslansın, dizleriniz dik açı oluştursun. Ellerinizi boynunuzun arkasına koyun. Şimdi sırtınızı yuvarlayarak yukarı doğru kalkın, omurlarınızın mindere temasını kaybettiğini hissetmelisiniz. En üst noktada, karın kaslarınızı olabildiğince kasın ve 2 saniye orada kalın. Şimdi sırtınızı açarak aşağı inin."
"Shoulder Press, Dumbbells",Shoulders,Dumbbell,"Sırt desteği neredeyse dikey olacak şekilde bir banka oturun. İki dambıl alın ve omuz hizasına kadar kaldırın; avuç içleriniz ve dirsekleriniz tüm egzersiz boyunca öne doğru bakmalıdır. Ağırlıkları yukarı doğru itin, en yüksek noktada birbirine çok yaklaşsınlar ama değmesinler. Yavaşça aşağı indirin ve tekrarlayın."
"Shoulder Press, Barbell",Shoulders,Barbell,"Sırt desteği neredeyse dikey olacak şekilde bir banka oturun. Omuz genişliğinde bir kavrama ile halter alın ve göğüs hizasına kadar kaldırın. Ağırlığı yukarı doğru itin, ancak kollarınızı tamamen germeyin. Yavaşça aşağı indirin ve tekrarlayın."
Single-arm Preacher Curl,Arms,Dumbbell,Preacher curl sehpasına oturun ve bir elinizde dambılla pazı kıvırma hareketi yapın. Diğer eliniz dinlenebilir veya kıvırma hareketi yapan kolunuzun dirseğinin altında olabilir.
Sitting Calf Raises,Calves,Vücut Ağırlığı,Baldır kaldırma egzersizi için bir banka oturun ve ayaklarınızın yarı serbest olduğundan ve baldır kaslarınızı tamamen aşağı doğru uzatabildiğinizden emin olun. Baldırlarınızı olabildiğince yukarı çekin. En yüksek noktada 1 veya 2 saniyelik kısa bir duraklama yapın ve aşağı inin.
Side to Side Push Ups,Chest,Vücut Ağırlığı,"-Şınav pozisyonunda başlayın

-Vücut ağırlığınızı sağ tarafa verin ve göğsünüz sağ elinizin üzerinde olacak şekilde şınav çekin

-Ortaya geri dönün

-2. tekrarda sol tarafa doğru eğilin"
Smith Machine Close-grip Bench Press,Arms,Vücut Ağırlığı,"Smith makinesinde standart bir bench press hareketi yapın, ancak ellerinizi bara omuz genişliğinde açarak yerleştirin ve dirseklerinizi vücudunuza yakın tutun."
Side Crunch,Abs,Gym mat,Bir elinize ağırlık alın. Yanlara doğru dizinizi bükün. Yan karın kaslarınızı kullanarak dik pozisyona geri dönün.
"Shrugs, Barbells",Shoulders,Barbell,"Bir halter alın ve vücudunuz dik olacak şekilde, kollarınız önünüzde serbestçe sarkacak şekilde durun. Bu pozisyondan omuzlarınızı olabildiğince yukarı kaldırın, ancak hareket sırasında kollarınızı bükmeyin. En yüksek noktada, 1 veya 2 saniyelik kısa bir duraklama yapın ve ardından yavaşça başlangıç ​​pozisyonuna dönün.

Daha yüksek ağırlıkla çalışırken, hareketin tamamını yaptığınızdan emin olun!"
Shrugs on Multipress,Shoulders,Vücut Ağırlığı,Açıklama Bulunamadı!
"Shrugs, Dumbbells",Shoulders,Dumbbell,"Vücudunuz dik duracak şekilde ayakta durun, elleriniz yanlarda serbestçe sallansın ve her birinizde birer dambıl tutun. Bu pozisyondan omuzlarınızı olabildiğince yukarı kaldırın, ancak hareket sırasında kollarınızı bükmeyin. En yüksek noktada, 1 veya 2 saniyelik kısa bir duraklamanın ardından yavaşça başlangıç ​​pozisyonuna dönün.

Daha yüksek ağırlıkla çalışırken, hareketin tamamını yaptığınızdan emin olun!"
Shoulder Shrug,Shoulders,none (bodyweight exercise),"Omuz silkme (genellikle sadece omuz silkme olarak adlandırılır), üst trapez kasını geliştirmek için kullanılan bir ağırlık antrenmanı egzersizidir. Sporcu dik durur, ellerini omuz genişliğinde açar ve dirseklerini bükmeden veya vücudunu hiç hareket ettirmeden omuzlarını olabildiğince yukarı kaldırır ve sonra indirir. Sporcunun hareket aralığı, aktif esneklik için yapılan normal bir omuz silkme hareketindeki kadar geniş olmayabilir. Omuzların yukarı kaldırılmış pozisyonda yatay bir eğime sahip olması genellikle iyi bir form olarak kabul edilir."
Side Plank,Abs,none (bodyweight exercise),"Yan karın kaslarınızı çalıştırır ve omurganızı stabilize etmenize yardımcı olur. Yan yatın ve vücudunuzu ön kolunuz ve diziniz arasında, ayaklarınıza kadar destekleyin."
Straight-arm Pull Down (bar Attachment),Back,Vücut Ağırlığı,"Yüksek makaraya düz çubuk aparatını takın. Avuç içleriniz aşağıya bakacak şekilde ve kollarınız önünüzde düz bir şekilde uzanmış halde çubuğun iki ucunu kavrayın. Kollarınızı düz tutarak ellerinizi kalçalarınıza doğru çekin, ardından başlangıç ​​pozisyonuna geri kaldırın."
Sumo Squats,Legs,none (bodyweight exercise),"Ayaklarınızı omuz genişliğinden daha geniş açarak, ayak parmaklarınız 45 derecelik bir açıyla dışa dönük ve halter omuzunuzda olacak şekilde durun.

Sırtınızı düz tutarak, oturuyormuş gibi dizlerinizi ve kalçalarınızı bükerek yavaşça aşağı inin (çömelme).

Diz ve arka bacak kaslarınız yere paralel olana kadar kendinizi aşağı indirin.

Ağırlığınızın ön ve topuk kısımlarına eşit dağılımını koruyarak, yukarı doğru bastırarak ve bacaklarınızı uzatarak başlangıç ​​pozisyonuna geri dönün."
Straight-arm Pull Down (rope Attachment),Back,Vücut Ağırlığı,"Yüksek bir makaraya halat aparatını takın. Halatın iki ucunu kollarınızı önünüze doğru düz bir şekilde uzatarak kavrayın. Kollarınızı düz tutarak ellerinizi kalçalarınıza doğru çekin, ardından başlangıç ​​pozisyonuna geri kaldırın."
Sumo Deadlift,Legs,Vücut Ağırlığı,"1. Yere yerleştirilmiş bir bar ile başlayın. Barı ayaklarınızın ortasından geçecek şekilde yaklaşın. Ayaklarınız çok geniş, bileklerinize yakın olmalıdır. Barı kavramak için kalçalarınızdan bükülün. Kollarınız omuzlarınızın hemen altında, bacaklarınızın içinde olmalı ve avuç içleriniz aşağıya bakacak şekilde, karışık tutuş veya kanca tutuşu kullanabilirsiniz. Omuzlarınızı gevşetin, bu da kollarınızı uzatır.
2. Nefes alın ve ardından kalçalarınızı indirin, başınızı öne doğru uzatın ve göğsünüzü yukarı kaldırın. Ağırlığınızı ayaklarınızın arka yarısına vererek, ayaklarınızı birbirinden ayırarak yere doğru itin. Kalçalarınızı ve dizlerinizi uzatın.
3. Bar dizlerinizden geçerken, geriye doğru yaslanın ve omuz kürek kemiklerinizi birbirine yaklaştırarak kalçalarınızı bara doğru itin.

4. Kalçalarınızdan bükülerek ve ağırlığı aşağı doğru kontrol ederek ağırlığı yere indirin."
Squat Thrust,Legs,none (bodyweight exercise),"Burpee veya çömelme hareketi, kuvvet antrenmanında ve aerobik egzersiz olarak kullanılan tam vücut egzersizidir. Temel hareket dört adımda yapılır ve dört sayılık burpee olarak bilinir: Ayakta durma pozisyonunda başlayın. Ellerinizi yere koyarak çömelme pozisyonuna geçin. (1. sayım) Kollarınızı uzatarak ayaklarınızı geriye doğru iterek plank pozisyonuna geçin. (2. sayım) Hemen ayaklarınızı tekrar çömelme pozisyonuna getirin. (3. sayım) Çömelme pozisyonundan ayağa kalkın. (4. sayım)"
Stiff-legged Deadlifts,Legs,Barbell,"* Bacaklarınızı düz tutun
* Sırtınızı düz tutun"
Standing Calf Raises,Calves,Vücut Ağırlığı,"Baldır kaldırma makinesine çıkın, baldırlarınızı tamamen aşağı doğru itebilmelisiniz. Dik durun, sırtınızı kamburlaştırmayın ve bacaklarınızı bükmeyin. Kendinizi olabildiğince yukarı çekin. 1-2 saniye kadar kısa bir ara verin ve yavaşça aşağı inin."
Squat Jumps,Legs,Vücut Ağırlığı,"Geniş bir sıçrama yapın, sonra da yaklaşın."
Squats,Legs,Barbell,"Barbell'i omuz hizasının biraz altına, bir rafa yerleştirin. Barı boynunuzun arkasına, sırtınızın üst kısmına gelecek şekilde yerleştirin ve omuz genişliğinden daha geniş bir aralıkla ellerinizi bara yerleştirin. Göğsünüzü yukarı kaldırın ve kürek kemiklerinizi birbirine yaklaştırarak tüm hareket boyunca sırtınızı düz tutun. Barı raftan almak için ayağa kalkın ve geriye doğru bir adım atın, ardından ayaklarınızı omuz genişliğinden biraz daha geniş olacak şekilde yerleştirin. Kalçalarınızdan geriye doğru oturun, sırtınızı düz ve göğsünüzü yukarıda tutarak, kalçalarınız dizlerinizin altına inecek şekilde çömelin. Çömelmenin en alt noktasından, ayaklarınızı yere bastırın ve kalçalarınızı öne doğru iterek ayakta durma pozisyonunun en üst noktasına geri dönün."
Standing Bicep Curl,Arms,Dumbbell,Omuz genişliğinde aralık bırakarak dambılları tutarak ayakta durun. Ön kolunuzu yukarı doğru çevirin ve üst kolunuzu sabit tutarak her bir dambılı omuz hizasına kadar kaldırın.
Triceps Extensions on Cable With Bar,Arms,Vücut Ağırlığı,"Barı kavrayın, ayaklarınızı omuz genişliğinde açarak durun, sırtınızı düz tutun ve biraz öne eğilin. Dirseklerinizin egzersiz boyunca hareket etmemesine dikkat ederek barı aşağı doğru itin. Hiç duraksamadan başlangıç ​​pozisyonuna geri dönün."
Wall Handstand,Shoulders,none (bodyweight exercise),Duvara yaslanarak amuda kalkma (göğüs duvara dönük).
Underhand Lat Pull Down,Back,Vücut Ağırlığı,"Avuç içleriniz size dönük ve elleriniz omuz genişliğinden daha yakın olacak şekilde barı kavrayın. Hafifçe geriye yaslanın ve sırtınızı düz tutun. Barı göğsünüze doğru çekin, hareketin sonunda omuzlarınızı hafifçe geriye doğru çekin."
Upright Row w/ Dumbbells,Shoulders,Dumbbell,Ayaklarınızı omuz genişliğinde açın. Yavaş ve sakin olun!
V-Bar Pulldown,Back,Vücut Ağırlığı,Dar tutuşlu V bar ile aşağı çekme hareketi.
"Calf raises, one legged",Calves,Vücut Ağırlığı,Açıklama Bulunamadı!
"Upright Row, SZ-bar",Shoulders,SZ-Bar,"Dik durun, ayaklarınız omuz genişliğinde açık olsun. SZ barı, kollarınız gergin bir şekilde, uyluklarınızın üzerinde üstten kavrama ile tutun. Barı çenenize kadar vücudunuza yakın bir şekilde kaldırın. Dirsekleriniz dışarı doğru bakacak şekilde, en yüksek noktada bir V şekli oluşturacak şekilde durun. Burada kısa bir süre bekleyin, ardından yavaşça aşağı inin ve hareketi tekrarlayın."
Wall Pushup,Arms,none (bodyweight exercise),Duvara yaslanarak şınav çekmek
"Upright Row, on Multi Press",Shoulders,Vücut Ağırlığı,"Hareketler temelde SZ bar ile aynıdır, ancak çoklu pres aletinde barı kullanıyorsunuz:

Dik durun, ayaklarınız omuz genişliğinde açık olsun. Barı uyluklarınızın üzerinde üstten kavrama ile tutun, kollarınız gergin olsun. Barı çenenize kadar vücudunuza yakın kaldırın. Dirsekler dışarı doğru bakacak şekilde en yüksek noktada V şeklini alsın. Burada kısa bir süre bekleyin, ardından yavaşça aşağı inin ve hareketi tekrarlayın."
Dumbbell Floor Press,Arms,Dumbbell,"Dambılları alın ve dizleriniz bükülü, ayaklarınız yere düz basacak şekilde sırt üstü uzanın (varsa bir sehpa kullanın). Dirseklerinizi kilitleyerek ağırlıkları yukarı doğru itin (A). Üst kollarınız vücudunuza yakın bir şekilde yere değene kadar yavaşça indirin (B). Burada kısa bir süre duraklayın ve ardından patlayıcı bir şekilde tekrar yukarı itin. Göğsünüzü sıkıca kasın ve tekrarlayın."
